disease,symptom,importance
abscess,pain,0.318
abscess,fever,0.119
abscess,swelling,0.112
abscess,redness,0.094
abscess,chills,0.092
abscess,infection,0.083
abscess,cyst,0.047
abscess,tenderness,0.037
abscess,rectal pain,0.026
abscess,lesion,0.025
abscess,lump,0.023
abscess,sore throat,0.021
abscess,facial swelling,0.016
abscess,pimple,0.016
abscess,discomfort,0.014
abscess,difficulty swallowing,0.013
abscess,cavity,0.013
abscess,night sweats,0.007
abscess,severe pain,0.007
abscess,abdominal pain,0.007
abscess,painful swallowing,0.007
abscess,back pain,0.006
acid reflux,pain,0.225
acid reflux,nausea,0.14
acid reflux,pain in upper abdomen,0.064
acid reflux,abdominal pain,0.058
acid reflux,sadness,0.052
acid reflux,depression,0.052
acid reflux,vomiting,0.048
acid reflux,anxiety,0.045
acid reflux,diarrhea,0.044
acid reflux,discomfort,0.034
acid reflux,indigestion,0.03
acid reflux,chills,0.022
acid reflux,constipation,0.021
acid reflux,dizziness,0.021
acid reflux,heartburn,0.02
acid reflux,chest pressure,0.017
acid reflux,coughing,0.015
acid reflux,difficulty swallowing,0.014
acid reflux,tenderness,0.014
acid reflux,lightheadedness,0.013
acid reflux,shortness of breath,0.012
acid reflux,belching,0.012
acid reflux,racing heartbeat,0.011
acid reflux,chest discomfort,0.011
acid reflux,burning sensation,0.011
acid reflux,discomfort in upper abdomen,0.01
acid reflux,chest tightness,0.009
acid reflux,fatigue,0.009
acid reflux,cramping,0.009
acid reflux,lethargy,0.008
acid reflux,headache,0.006
acid reflux,sharp pain,0.006
acid reflux,lump,0.005
acid reflux,dry cough,0.005
acid reflux,abdominal discomfort,0.005
acid reflux,malnutrition,0.005
acid reflux,weight loss,0.005
acid reflux,bone loss,0.004
acute renal failure,kidney failure,0.127
acute renal failure,weakness,0.087
acute renal failure,diarrhea,0.062
acute renal failure,lethargy,0.058
acute renal failure,low blood pressure,0.053
acute renal failure,dehydration,0.048
acute renal failure,vomiting,0.044
acute renal failure,nausea,0.041
acute renal failure,fatigue,0.033
acute renal failure,confusion,0.029
acute renal failure,mental confusion,0.022
acute renal failure,dizziness,0.021
acute renal failure,malaise,0.014
acute renal failure,weight loss,0.012
acute renal failure,urinary retention,0.01
acute renal failure,shortness of breath,0.009
acute renal failure,blood in urine,0.009
alcohol intoxication,slurred speech,0.071
alcohol intoxication,vomiting,0.064
alcohol intoxication,unsteady gait,0.056
alcohol intoxication,depression,0.034
alcohol intoxication,sadness,0.034
alcohol intoxication,confusion,0.029
alcohol intoxication,falling,0.025
alcohol intoxication,thoughts of suicide,0.019
alcohol intoxication,wandering and getting lost,0.018
alcohol intoxication,agitation,0.017
alcohol intoxication,crying,0.015
alcohol intoxication,screaming,0.015
alcohol intoxication,seizures,0.013
alcohol intoxication,fainting,0.013
alcohol intoxication,bruising,0.01
alcohol intoxication,substance abuse,0.007
alcohol intoxication,tremor,0.005
alcohol intoxication,rapid involuntary eye movement,0.005
alcohol intoxication,difficulty walking,0.005
